Label,Features
1,"[18.          2.          0.          0.55555556  0.33333333  0.55555556
  0.          1.          0.          0.          0.        ]"
1,"[13.          3.          0.          0.84615385  0.53846154  0.23076923
  0.          0.          1.          0.          0.        ]"
1,"[23.          3.60869565  0.          0.91304348  0.26086957  0.34782609
  0.          0.          0.          0.          0.        ]"
1,[2.  3.5 0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,[3. 6. 0. 1. 1. 0. 0. 0. 0. 0. 0.]
1,"[7.         2.57142857 0.         1.         0.42857143 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[7.         3.85714286 0.         1.         0.28571429 0.28571429
 0.         0.         0.         0.         0.        ]"
1,"[29.          3.20689655  0.          0.82758621  0.34482759  0.31034483
  1.          0.          0.          0.          0.        ]"
1,[8.    3.375 0.    1.    0.25  0.375 0.    0.    1.    0.    0.   ]
1,"[11.          3.72727273  0.          0.90909091  0.          0.63636364
  0.          0.          0.          0.          0.        ]"
1,[2.  2.  0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,"[31.          3.03225806  0.          0.80645161  0.25806452  0.38709677
  0.          1.          2.          0.          0.        ]"
1,"[12.          2.75        0.          0.91666667  0.41666667  0.41666667
  0.          0.          1.          0.          0.        ]"
1,"[17.          2.58823529  0.          0.64705882  0.41176471  0.23529412
  0.          0.          3.          0.          0.        ]"
1,"[14.          2.85714286  0.          1.          0.07142857  0.57142857
  0.          0.          1.          0.          0.        ]"
1,[2.  3.  0.  1.  0.5 0.  0.  0.  1.  0.  0. ]
1,"[7.         3.28571429 0.         1.         0.28571429 0.42857143
 0.         0.         1.         0.         0.        ]"
1,"[15.          2.8         0.          0.66666667  0.53333333  0.2
  0.          0.          0.          0.          0.        ]"
1,[20.    3.25  0.    0.9   0.3   0.3   0.    0.    0.    1.    0.  ]
1,"[29.          3.17241379  0.          0.75862069  0.27586207  0.44827586
  1.          0.          2.          0.          0.        ]"
1,"[16.      3.125   0.      0.8125  0.5625  0.25    0.      0.      2.
  2.      0.    ]"
1,"[19.          3.          0.          0.84210526  0.31578947  0.42105263
  0.          1.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.  0.  0.  0.  0.  0. ]
1,[5.  2.8 0.  1.  0.2 0.4 0.  0.  1.  0.  0. ]
1,"[15.          2.73333333  0.          0.86666667  0.33333333  0.4
  0.          0.          0.          0.          0.        ]"
1,"[9.         2.22222222 0.         1.         0.44444444 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[13.          3.07692308  0.          0.92307692  0.15384615  0.46153846
  0.          1.          0.          1.          0.        ]"
1,"[15.          3.26666667  0.          0.93333333  0.2         0.46666667
  0.          0.          1.          0.          0.        ]"
1,[2.  1.5 0.  1.  0.5 0.  0.  0.  0.  1.  0. ]
1,[20.    3.35  0.    0.9   0.25  0.3   0.    0.    0.    0.    0.  ]
1,"[19.          3.89473684  0.          0.94736842  0.26315789  0.42105263
  0.          0.          1.          0.          0.        ]"
1,[2.  2.5 0.  1.  1.  0.  0.  0.  0.  1.  0. ]
1,"[3.         2.66666667 0.         1.         0.66666667 0.
 1.         0.         0.         0.         0.        ]"
1,"[15.          2.93333333  0.          0.86666667  0.33333333  0.4
  0.          0.          0.          0.          0.        ]"
1,[4.   3.5  0.   1.   0.5  0.25 0.   0.   0.   0.   0.  ]
1,[8.    2.625 0.    0.875 0.375 0.125 0.    0.    0.    0.    0.   ]
1,"[11.          2.54545455  0.          0.81818182  0.18181818  0.63636364
  0.          0.          0.          0.          0.        ]"
