Label,Features
1,"[26.          3.84615385  0.          0.84615385  0.34615385  0.38461538
  0.          0.          1.          0.          0.        ]"
1,"[11.          3.18181818  0.          1.          0.18181818  0.54545455
  0.          0.          0.          0.          0.        ]"
1,"[11.          2.72727273  0.          0.90909091  0.45454545  0.18181818
  0.          0.          0.          2.          0.        ]"
1,"[23.          2.86956522  0.          0.86956522  0.47826087  0.26086957
  0.          0.          0.          0.          0.        ]"
1,[8.    4.    0.    0.875 0.25  0.5   0.    0.    0.    0.    0.   ]
1,"[13.          3.69230769  0.          0.92307692  0.46153846  0.23076923
  0.          0.          0.          0.          0.        ]"
1,"[27.          3.2962963   0.          0.96296296  0.25925926  0.40740741
  0.          0.          1.          0.          0.        ]"
1,"[17.          3.88235294  0.          1.          0.29411765  0.47058824
  0.          0.          0.          0.          0.        ]"
1,"[23.          2.86956522  0.          0.82608696  0.39130435  0.34782609
  0.          0.          0.          0.          0.        ]"
1,"[32.       3.4375   0.       0.84375  0.53125  0.21875  0.       0.
  0.       1.       0.     ]"
1,"[12.          3.91666667  0.          0.91666667  0.5         0.16666667
  0.          0.          0.          2.          0.        ]"
1,"[28.          3.71428571  0.          0.82142857  0.25        0.5
  1.          0.          0.          0.          0.        ]"
1,[5.  4.2 0.  1.  0.8 0.  0.  0.  0.  0.  0. ]
1,"[9.         2.66666667 0.         1.         0.33333333 0.55555556
 0.         0.         0.         0.         0.        ]"
1,"[15.          4.06666667  0.          0.93333333  0.6         0.2
  0.          0.          0.          2.          0.        ]"
1,"[22.          3.04545455  0.          0.90909091  0.40909091  0.45454545
  0.          0.          0.          0.          0.        ]"
1,"[27.          3.51851852  0.          0.88888889  0.33333333  0.25925926
  0.          0.          0.          0.          0.        ]"
1,[2.  2.5 0.  1.  0.5 0.5 0.  0.  1.  0.  0. ]
1,[5.  2.8 0.  1.  0.2 0.6 0.  0.  1.  0.  0. ]
1,[20.    3.65  0.    0.95  0.3   0.45  0.    0.    0.    2.    0.  ]
1,"[12.          3.33333333  0.          0.91666667  0.33333333  0.41666667
  0.          0.          2.          0.          0.        ]"
1,"[3.         3.         0.         1.         0.66666667 0.33333333
 0.         0.         0.         0.         0.        ]"
1,"[15.          3.          0.          0.8         0.26666667  0.46666667
  0.          0.          0.          0.          2.        ]"
